ime,chars,unicode
"ham","含","542B"
"un","听","542C"
"hang","吭","542D"
"cen","吮","542E"
"ci","吱","5431"
"o","吳","5433"
"ho","吳","5433"
"myo","吵","5435"
"cho","吵","5435"
"yel","吶","5436"
"nwul","吶","5436"
"hyel","吷","5437"
"hup","吸","5438"
"chwi","吹","5439"
"mwun","吻","543B"
"hwu","吼","543C"
"wu","吽","543D"
"hwu","吽","543D"
"um","吽","543D"
"o","吾","543E"
"ha","呀","5440"
"lye","呂","5442"
"ay","呃","5443"
"mwun","呅","5445"
"may","呅","5445"
"may","呆","5446"
"thay","呆","5446"
"po","呆","5446"
"ceng","呈","5448"
"kok","告","544A"
"ko","告","544A"
"chek","呎","544E"
"sung","呏","544F"
"ni","呢","5462"
"lyeng","呤","5464"
"yu","呦","5466"
"cey","呧","5467"
"cwu","周","5468"
"chep","呫","546B"
"hi","呬","546C"
"lyeng","呬","546C"
"huy","呬","546C"
"ca","呰","5470"
"ko","呱","5471"
"mi","味","5473"
"kwu","呴","5474"
"ka","呵","5475"
"no","呶","5476"
"hap","呷","5477"
"pi","呸","5478"
"ho","呺","547A"
"hyo","呺","547A"
"sin","呻","547B"
"ho","呼","547C"
"myeng","命","547D"
"tal","呾","547E"
"ke","呿","547F"
"ce","咀","5480"
"cap","咂","5482"
"tol","咄","5484"
"pho","咆","5486"
"phil","咇","5487"
"pwul","咈","5488"
"sa","咋","548B"
"hwa","和","548C"
"hay","咍","548D"
"ko","咎","548E"
"kwu","咎","548E"
"pwu","咐","5490"
"cwu","咒","5492"
"ko","咕","5495"
"ka","咖","5496"
"cip","咠","54A0"
"i","咡","54A1"
"ak","咢","54A2"
"huy","咥","54A5"
"cay","咦","54A6"
"i","咦","54A6"
"lyel","咧","54A7"
"ca","咨","54A8"
"mi","咩","54A9"
"mi","咪","54AA"
"ci","咫","54AB"
"kyo","咬","54AC"
"kil","咭","54AD"
"kal","咭","54AD"
"cwu","咮","54AE"
"kak","咯","54AF"
"chal","咱","54B1"
"cha","咱","54B1"
"hay","咳","54B3"
"hwal","咶","54B6"
"si","咶","54B6"
"to","咷","54B7"
"ham","咸","54B8"
"hwen","咺","54BA"
"hyu","咻","54BB"
"kway","咼","54BC"
"yel","咽","54BD"
"in","咽","54BD"
"i","咿","54BF"
"ay","哀","54C0"
"phwum","品","54C1"
"sin","哂","54C2"
"tong","哃","54C3"
"hong","哄","54C4"
"hyung","哅","54C5"
"chi","哆","54C6"
"wa","哇","54C7"
"hap","哈","54C8"
"cay","哉","54C9"
"ay","哎","54CE"
"wen","員","54E1"
"long","哢","54E2"
"pang","哤","54E4"
"ka","哥","54E5"
"a","哦","54E6"
"so","哨","54E8"
"cho","哨","54E8"
"li","哩","54E9"
"na","哪","54EA"
"cok","哫","54EB"
"kok","哭","54ED"
"hyo","哮","54EE"
"pal","哱","54F1"
"chel","哲","54F2"
"chal","哳","54F3"
"lyel","哷","54F7"
"pho","哺","54FA"
"hyeng","哼","54FC"
"kyeng","哽","54FD"
"ka","哿","54FF"
"en","唁","5501"
"phay","唄","5504"
"ham","唅","5505"
"sa","唆","5506"
"cin","唇","5507"
"ap","唈","5508"
"up","唈","5508"
"ay","唉","5509"
"kyep","唊","550A"
"tan","唌","550C"
"yen","唌","550C"
"li","唎","550E"
"huy","唏","550F"
"tang","唐","5510"
"o","唔","5514"
"chim","唚","551A"
"pong","唪","552A"
"ho","唬","552C"
"ki","唭","552D"
"swu","售","552E"
"yu","唯","552F"
"chang","唱","5531"
"a","唲","5532"
"ay","唲","5532"
"lye","唳","5533"
"kang","唴","5534"
"an","唵","5535"
"cha","唶","5536"
"chayk","唶","5536"
"yuk","唷","5537"
"cem","唸","5538"
"cen","唸","5538"
"e","唹","5539"
"sap","唼","553C"
"tha","唾","553E"
"ay","啀","5540"
"cwu","啁","5541"
"co","啁","5541"
"sap","啃","5543"
"thak","啄","5544"
"thak","啅","5545"
"sang","商","5546"
"a","啊","554A"
"kyo","啋","554B"
"hyo","啋","554B"
"thon","啍","554D"
"o","啎","554E"
"mwun","問","554F"
"chway","啐","5550"
"cwul","啐","5550"
"cap","啑","5551"
"sap","啑","5551"
"chey","啑","5551"
"to","啕","5555"
"tam","啖","5556"
"tam","啗","5557"
"chel","啜","555C"
"a","啞","555E"
"kyey","啟","555F"
"pi","啡","5561"
"pay","啡","5561"
"ham","啣","5563"
"si","啻","557B"
"cey","啼","557C"
"am","啽","557D"
"chwu","啾","557E"
"cam","啿","557F"
"tam","啿","557F"
"kayk","喀","5580"
"ong","喁","5581"
"wu","喁","5581"
"nam","喃","5583"
"sen","善","5584"
"la","喇","5587"
"lal","喇","5587"
"kay","喈","5588"
"hwu","喉","5589"
"ham","喊","558A"
"chep","喋","558B"
"cap","喋","558B"
"cwu","喌","558C"
"cwuk","喌","558C"
"cay","喍","558D"
"ya","喏","558F"
"um","喑","5591"
"cam","喒","5592"
"yo","喓","5593"
"ak","喔","5594"
"chen","喘","5598"
"hwey","喙","5599"
"hwan","喚","559A"
"huy","喜","559C"
"kal","喝","559D"
"ay","喝","559D"
"wi","喟","559F"
"koy","喟","559F"
"hwu","喣","55A3"
"hwang","喤","55A4"
"yep","喦","55A6"
"hwen","喧","55A7"
"lyang","喨","55A8"
"sang","喪","55AA"
"kkik","喫","55AB"
"kyo","喬","55AC"
"an","喭","55AD"
"en","喭","55AD"
"tan","單","55AE"
"sen","單","55AE"
"yak","喲","55B2"
"sa","喳","55B3"
"yu","喻","55BB"
"so","喿","55BF"
"hak","嗀","55C0"
"yo","嗂","55C2"
"hak","嗃","55C3"
"hyo","嗃","55C3"
"sa","嗄","55C4"
"ay","嗄","55C4"
"hwu","嗅","55C5"
"chang","嗆","55C6"
"sayk","嗇","55C7"
"ong","嗈","55C8"
"so","嗉","55C9"
"hong","嗊","55CA"
"hyep","嗋","55CB"
"i","嗌","55CC"
"ayk","嗌","55CC"
"ma","嗎","55CE"
"hay","嗐","55D0"
"hal","嗐","55D0"
"hap","嗑","55D1"
"thap","嗒","55D2"
"sang","嗓","55D3"
"cin","嗔","55D4"
"yok","嗕","55D5"
"pang","嗙","55D9"
"o","嗚","55DA"
"kyem","嗛","55DB"
"ki","嗜","55DC"
"kyek","嗝","55DD"
"cha","嗟","55DF"
"ong","嗡","55E1"
"ol","嗢","55E2"
"sa","嗣","55E3"
"chi","嗤","55E4"
"lyun","嗧","55E7"
"sway","嗩","55E9"
"phil","嗶","55F6"
"o","嗷","55F7"
"lyen","嗹","55F9"
"choy","嗺","55FA"
"mak","嗼","55FC"
"swu","嗽","55FD"
"cwu","嗾","55FE"
"tham","嗿","55FF"
"chuk","嘁","5601"
"kyo","嘂","5602"
"kyo","嘄","5604"
"than","嘆","5606"
"co","嘈","5608"
"ka","嘉","5609"
"phyo","嘌","560C"
"lwu","嘍","560D"
"al","嘎","560E"
"ka","嘏","560F"
"ha","嘏","560F"
"kyo","嘐","5610"
"hyey","嘒","5612"
"koyk","嘓","5613"
"kwu","嘔","5614"
"hwu","嘔","5614"
"en","嘕","5615"
"chayk","嘖","5616"
"sang","嘗","5617"
"ma","嘛","561B"
"to","嘟","561F"
"hwa","嘩","5629"
"choy","嘬","562C"
"cho","嘮","562E"
"so","嘯","562F"
"ki","嘰","5630"
"co","嘲","5632"
"koy","嘳","5633"
"chwi","嘴","5634"
"hyo","嘵","5635"
"si","嘶","5636"
"mwu","嘸","5638"
"lyo","嘹","5639"
"kyo","嘺","563A"
"huy","嘻","563B"
"than","嘽","563D"
"chen","嘽","563D"
"tam","嘾","563E"
"mwuk","嘿","563F"
"son","噀","5640"
"o","噁","5641"
"cwun","噂","5642"
"wi","噅","5645"
"cham","噆","5646"
"chwuk","噈","5648"
"tam","噉","5649"
