chars,pinyin
"將","jiāng"
"專","zhuān"
"尉","wèi"
"尊","zūn"
"尋","xún"
"對","duì"
"導","dǎo"
"小","xiǎo"
"少","shào"
"少","shǎo"
"尒","ěr"
"尕","gǎ"
"尖","jiān"
"尚","shàng"
"尟","xiǎn"
"尢","wāng"
"尤","yóu"
"尨","máng"
"尨","páng"
"尪","wāng"
"尬","gà"
"就","jiù"
"尸","shī"
"尹","yǐn"
"尺","chě"
"尺","chǐ"
"尻","kāo"
"尼","ní"
"尾","wěi"
"尾","yǐ"
"尿","suī"
"局","jú"
"屁","pì"
"屄","bī"
"居","jū"
"屆","jiè"
"屈","qū"
"屋","wū"
"屌","diǎo"
"屍","shī"
"屎","shǐ"
"屏","bǐng"
"屏","píng"
"屐","jī"
"屑","xiè"
"展","zhǎn"
"屙","ē"
"屜","tì"
"屝","fèi"
"屠","tú"
"屢","lǚ"
"屣","xǐ"
"層","céng"
"履","lǚ"
"屧","xiè"
"屨","jù"
"屩","jué"
"屬","shǔ"
"屬","zhǔ"
"屭","xì"
"屮","chè"
"屯","tún"
"屯","zhūn"
"山","shān"
"屴","lì"
"屹","yì"
"屺","qǐ"
"屼","wù"
"岊","jié"
"岌","jí"
"岍","qiān"
"岐","qí"
"岑","cén"
"岔","chà"
"岡","gāng"
"岢","kě"
"岣","gǒu"
"岧","tiáo"
"岨","qū"
"岩","yán"
"岫","xiù"
"岬","jiǎ"
"岱","dài"
"岳","yuè"
"岵","hù"
"岷","mín"
"岸","àn"
"峋","xún"
"峒","tóng"
"峓","yí"
"峙","zhì"
"峨","é"
"峪","yù"
"峭","qiào"
"峰","fēng"
"峴","xiàn"
"島","dǎo"
"峹","tú"
"峻","jùn"
"峽","xiá"
"峿","wú"
"崆","kōng"
"崇","chóng"
"崍","lái"
"崎","qí"
"崑","kūn"
"崔","cuī"
"崖","yái"
"崗","gǎng"
"崙","lún"
"崚","léng"
"崛","jué"
"崞","guō"
"崟","yín"
"崢","zhēng"
"崦","yān"
"崧","sōng"
"崩","bēng"
"崮","gù"
"崶","fēng"
"崽","zǎi"
"崿","è"
"嵂","lǜ"
"嵇","jī"
"嵊","shèng"
"嵋","méi"
"嵌","qiàn"
"嵎","yú"
"嵐","lán"
"嵒","yán"
"嵩","sōng"
"嵫","zī"
"嵬","wéi"
"嵯","cuó"
"嵼","chǎn"
"嵾","cēn"
"嶁","lǒu"
"嶂","zhàng"
"嶄","zhǎn"
"嶇","qū"
"嶒","céng"
"嶓","bō"
"嶔","qīn"
"嶗","láo"
"嶙","lín"
"嶞","duò"
"嶠","jiào"
"嶡","guì"
"嶡","jué"
"嶢","yáo"
"嶧","yì"
"嶮","xiǎn"
"嶰","xiè"
"嶴","ào"
"嶷","yí"
"嶸","róng"
"嶺","lǐng"
"嶼","yǔ"
"嶽","yuè"
"巂","suǐ"
"巃","lóng"
"巇","xī"
"巉","chán"
"巋","kuī"
"巒","luán"
"巔","diān"
"巖","yán"
"巘","yǎn"
"川","chuān"
"州","zhōu"
"巡","xún"
"巢","cháo"
"工","gōng"
"左","zuǒ"
"巧","qiǎo"
"巨","jù"
"巫","wū"
"差","chà"
"差","chā"
"差","chāi"
"差","cī"
"巰","qiú"
"己","jǐ"
"已","yǐ"
"巳","sì"
"巴","bā"
"巷","xiàng"
"巹","jǐn"
"巽","xùn"
"巾","jīn"
"市","shì"
"布","bù"
"帆","fān"
"希","xī"
"帑","tǎng"
"帔","pèi"
"帕","pà"
"帖","tiè"
"帖","tiě"
"帖","tiē"
"帗","fú"
"帘","lián"
"帙","zhì"
"帚","zhǒu"
"帛","bó"
"帝","dì"
"帟","yì"
"帣","juàn"
"帥","shuài"
"帨","shuì"
"師","shī"
"席","xí"
"帳","zhàng"
"帶","dài"
"帷","wéi"
"常","cháng"
"帽","mào"
"幀","zhèng"
"幃","wéi"
"幄","wò"
"幅","fú"
"幋","pán"
"幌","huǎng"
"幔","màn"
"幕","mù"
"幗","guó"
"幘","zé"
"幛","zhàng"
"幟","zhì"
"幠","hū"
"幡","fān"
"幢","chuáng"
"幣","bì"
"幦","mì"
"幨","chān"
"幩","fén"
"幪","méng"
"幫","bāng"
"幬","chóu"
"幬","dào"
"幭","miè"
"幯","jié"
"幰","xiǎn"
"干","gàn"
"干","gān"
"平","píng"
"年","nián"
"并","bìng"
"幸","xìng"
"幹","gàn"
"幻","huàn"
"幼","yòu"
"幽","yōu"
"幾","jǐ"
"幾","jī"
"庀","pǐ"
"庄","zhuāng"
"庇","bì"
"庈","qín"
"床","chuáng"
"序","xù"
"底","de"
"底","dǐ"
"庖","páo"
"店","diàn"
"庚","gēng"
"府","fǔ"
"庠","xiáng"
"庥","xiū"
"度","dù"
"座","zuò"
"庫","kù"
"庬","páng"
"庭","tíng"
"庳","bì"
"庴","jí"
"庵","ān"
"庶","shù"
"康","kāng"
"庸","yōng"
"庹","tuǒ"
"庾","yǔ"
"廁","cè"
"廂","xiāng"
"廄","jiù"
"廈","shà"
"廈","xià"
"廉","lián"
"廊","láng"
"廋","sōu"
"廎","qǐng"
"廑","jǐn"
"廒","áo"
"廓","kuò"
"廕","yìn"
"廖","liào"
"廚","chú"
"廛","chán"
"廝","sī"
"廟","miào"
"廠","chǎng"
"廡","wǔ"
"廢","fèi"
"廣","guǎng"
"廧","qiáng"
"廨","xiè"
"廩","lǐn"
"廬","lú"
"廱","yōng"
"廳","tīng"
"延","yán"
"廷","tíng"
"建","jiàn"
"廾","gǒng"
"廿","niàn"
"弁","biàn"
"异","yì"
"弄","lòng"
"弄","nòng"
"弇","yǎn"
"弈","yì"
"弊","bì"
"弋","yì"
"式","shì"
"弒","shì"
"弓","gōng"
"弔","diào"
"引","yǐn"
"弗","fú"
"弘","hóng"
"弛","chí"
"弟","dì"
"弢","tāo"
"弣","fǔ"
"弤","dǐ"
"弦","xián"
"弧","hú"
"弨","chāo"
"弩","nǔ"
"弭","mǐ"
"弰","shāo"
"弱","ruò"
"張","zhāng"
"強","qiáng"
"弸","bēng"
"弼","bì"
"彀","gòu"
"彆","biè"
"彈","dàn"
"彈","tán"
"彊","jiàng"
"彊","qiáng"
"彊","qiǎng"
"彌","mí"
"彎","wān"
"彖","tuàn"
"彗","huì"
"彘","zhì"
"彙","huì"
"彝","yí"
"形","xíng"
"彤","tóng"
"彥","yàn"
"彧","yù"
"彩","cǎi"
"彪","biāo"
"彫","diāo"
"彬","bīn"
"彭","péng"
"彰","zhāng"
"影","yǐng"
"彳","chì"
"彷","fǎng"
"彷","páng"
"役","yì"
"彼","bǐ"
"彽","chí"
"彿","fú"
"往","wàng"
"往","wǎng"
"征","zhēng"
"徂","cú"
"待","dài"
"待","dāi"
"徇","xùn"
"很","hěn"
"徉","yáng"
"徊","huí"
"律","lǜ"
"後","hòu"
"徐","xú"
"徑","jìng"
"徒","tú"
"得","de"
"得","dé"
"得","děi"
"徘","pái"
"徙","xǐ"
"徜","cháng"
"從","cóng"
"從","cōng"
"從","zòng"
"徠","lái"
"御","yù"
"徨","huáng"
"復","fù"
"循","xún"
"徬","páng"
"徭","yáo"
"微","wēi"
"徯","xī"
"徵","zhēng"
"徵","zhǐ"
"德","dé"
"徹","chè"
"徼","jiào"
"徼","jiǎo"
"徽","huī"
"心","xīn"
"必","bì"
"忉","dāo"
"忌","jì"
"忍","rěn"
"忐","tǎn"
"忑","tè"
"忒","tè"
"忖","cǔn"
"志","zhì"
"忘","wàng"
"忙","máng"
"忝","tiǎn"
"忠","zhōng"
"忡","chōng"
"忤","wǔ"
"忪","zhōng"
"快","kuài"
"忮","zhì"
"忱","chén"
"念","niàn"
"忸","niǔ"
"忻","xīn"
"忽","hū"
"忿","fèn"
"怍","zuò"
"怎","zěn"
"怏","yàng"
"怒","nù"
"怔","zhēng"
"怕","pà"
"怖","bù"
"怗","tiē"
"怙","hù"
"怛","dá"
"思","sī"
"怠","dài"
"怡","yí"
"急","jí"
"怦","pēng"
"性","xìng"
"怨","yuàn"
"怪","guài"
"怫","fèi"
"怫","fú"
"怭","bì"
"怯","qiè"
"怲","bǐng"
"怳","huǎng"
"怵","chù"
"恂","xún"
"恃","shì"
"恆","héng"
"恇","kuāng"
"恉","zhǐ"
"恌","tiāo"
"恍","huǎng"
"恐","kǒng"
"恓","xī"
"恔","xiào"
"恕","shù"
"恙","yàng"
"恚","huì"
"恝","jiá"
"恢","huī"
"恣","zì"
"恤","xù"
"恥","chǐ"
"恧","nǜ"
"恨","hèn"
"恩","ēn"
"恪","kè"
"恫","dòng"
"恭","gōng"
"息","xī"
"恰","qià"
"恿","yǒng"
"悁","juàn"
"悁","juān"
"悃","kǔn"
"悄","qiǎo"
"悅","yuè"
"悉","xī"
"悌","tì"
"悍","hàn"
"悒","yì"
"悔","huǐ"
"悖","bèi"
"悚","sǒng"
"悛","quān"
"悝","kuī"
"悝","lǐ"
"悟","wù"
"悠","yōu"
"患","huàn"
"您","nín"
"悰","cóng"
"悱","fěi"
"悲","bēi"
"悴","cuì"
"悵","chàng"
"悶","mèn"
"悶","mēn"
"悸","jì"
"悻","xìng"
"悼","dào"
"悽","qī"
"悾","kōng"
"惄","nì"
"情","qíng"
"惆","chóu"
"惇","dūn"
"惎","jì"
"惑","huò"
"惓","quán"
"惕","tì"
"惘","wǎng"
"惙","chuò"
"惚","hū"
"惛","hūn"
"惝","chǎng"
"惝","tǎng"
"惟","wéi"
"惠","huì"
"惡","è"
"惡","ě"
"惡","wù"
"惰","duò"
"惱","nǎo"
"惲","yùn"
"想","xiǎng"
"惴","zhuì"
"惶","huáng"
"惷","chǔn"
"惸","qióng"
"惹","rě"
"惺","xīng"
"惻","cè"
"愀","qiǎo"
"愁","chóu"
"愃","xuān"
"愆","qiān"
"愈","yù"
"愉","yú"
"愊","bì"
"愍","mǐn"
"愎","bì"
"意","yì"
"愐","miǎn"
"愒","kài"
"愔","yīn"
"愕","è"
"愚","yú"
"愛","ài"
"愜","qiè"
"感","gǎn"
"愣","lèng"
"愧","kuì"
"愨","què"
"愫","sù"
"愬","sù"
"愴","chuàng"
"愷","kǎi"
"愾","kài"
"愿","yuàn"
"慁","hùn"
"慄","lì"
"慆","tāo"
"慇","yīn"
"慈","cí"
"慉","xù"
"慊","qiàn"
"慊","qiè"
"態","tài"
"慌","huāng"
"慍","yùn"
"慎","shèn"
"慕","mù"
"慘","cǎn"
"慚","cán"
"慝","tè"
"慟","tòng"
"慢","màn"
"慣","guàn"
"慥","zào"
"慧","huì"
"慨","kǎi"
"慫","sǒng"
"慮","lǜ"
"慰","wèi"
"慳","qiān"
"慴","zhé"
"慵","yōng"
"慶","qìng"
"慷","kāng"
"慼","qī"
"慾","yù"
"憂","yōu"
"憊","bèi"
"憋","biē"
"憍","jiāo"
"憎","zēng"
"憐","lián"
"憑","píng"
"憒","kuì"
"憔","qiáo"
"憖","yìn"
"憚","dàn"
"憝","duì"
"憤","fèn"
"憧","chōng"
"憨","hān"
"憩","qì"
"憫","mǐn"
"憬","jǐng"
"憮","wǔ"
"憯","cǎn"
"憲","xiàn"
"憶","yì"
"憸","xiān"
"憾","hàn"
"懂","dǒng"
"懃","qín"
"懆","cǎo"
"懇","kěn"
"懈","xiè"
"應","yìng"
"應","yīng"
"懊","ào"
"懋","mào"
"懌","yì"
"懍","lǐn"
"懟","duì"
"懣","mèn"
"懥","zhì"
"懦","nuò"
"懨","yān"
"懮","yǒu"
"懰","liú"
"懲","chéng"
"懵","měng"
"懶","lǎn"
"懷","huái"
"懸","xuán"
"懺","chàn"
"懼","jù"
"懽","huān"
"懾","shè"
"懿","yì"
"戀","liàn"
"戁","nǎn"
"戄","jué"
"戇","zhuàng"
"戈","gē"
"戊","wù"
"戌","xū"
"戍","shù"
"戎","róng"
"成","chéng"
"我","wǒ"
"戒","jiè"
"戔","jiān"
"或","huò"
"戚","qī"
"戛","jiá"
"戟","jǐ"
"戡","kān"
"戢","jí"
"戣","kuí"
"戤","gài"
"戥","děng"
"戩","jiǎn"
"截","jié"
"戮","lù"
"戰","zhàn"
"戲","xì"
"戳","chuō"
"戴","dài"
"戶","hù"
"戺","shì"
"戽","hù"
"戾","lì"
"房","fáng"
"所","suǒ"
"扁","piān"
"扃","jiōng"
"扆","yǐ"
"扇","shàn"
"扇","shān"
"扈","hù"
"扉","fēi"
"扊","yǎn"
"手","shǒu"
"才","cái"
"扎","zā"
"扎","zhá"
"扎","zhā"
"扐","lè"
"扑","pū"
"扒","bā"
"扒","pá"
"打","dá"
"打","dǎ"
"扔","rēng"
"托","tuō"
"扛","gāng"
"扛","káng"
"扠","chā"
"扢","gǔ"
"扢","xì"
"扣","kòu"
"扤","wù"
"扦","qiān"
"扭","niǔ"
"扮","bàn"
"扯","chě"
"扱","xī"
"扳","bān"
"扳","pān"
"扶","fú"
"批","pī"
"扼","è"
"找","zhǎo"
"承","chéng"
"技","jì"
"抃","biàn"
"抄","chāo"
"抆","wèn"
"抉","jué"
"把","bǎ"
"抑","yì"
"抒","shū"
"抓","zhuā"
"抔","póu"
"投","tóu"
"抖","dǒu"
"抗","kàng"
"折","shé"
"折","zhé"
"抨","pēng"
"披","pī"
"抬","tái"
"抱","bào"
"抵","dǐ"
"抶","chì"
"抹","mò"
"抹","mǒ"
"押","yā"
"抽","chōu"
"抿","mǐn"
"拂","fú"
"拄","zhǔ"
"拆","chāi"
"拇","mǔ"
"拉","lā"
"拊","fǔ"
"拋","pāo"
"拌","bàn"
"拍","pāi"
"拏","ná"
"拐","guǎi"
"拑","qián"
"拒","jù"
"拓","tà"
"拓","tuò"
"拔","bá"
"拖","tuō"
"拗","ǎo"
"拗","niù"
"拘","jū"
"拚","pàn"
"拚","pīn"
"招","zhāo"
"拜","bài"
"括","kuò"
"拭","shì"
"拮","jié"
"拯","zhěng"
"拱","gǒng"
"拳","quán"
"拴","shuān"
"拶","zǎn"
"拷","kǎo"
"拼","pīn"
"拽","yè"
"拽","zhuài"
"拽","zhuāi"
"拾","shí"
"拿","ná"
"持","chí"
"挂","guà"
"指","zhǐ"
"挈","qiè"
"按","àn"
"挍","jiào"
"挐","ná"
"挑","tiǎo"
"挑","tiāo"
"挖","wā"
"挨","ái"
"挨","āi"
"挪","nuó"
"挫","cuò"
"振","zhèn"
"挲","suō"
"挶","jú"
"挹","yì"
"挺","tǐng"
"挽","wǎn"
"挾","jiā"
"挾","xié"
"捃","jùn"
"捄","jiù"
"捅","tǒng"
"捆","kǔn"
"捉","zhuō"
"捋","lǚ"
"捋","luō"
"捌","bā"
"捍","hàn"
"捎","shāo"
"捏","niē"
"捐","juān"
"捕","bǔ"
"捧","pěng"
"捨","shě"
"捩","liè"
"捫","mén"
"捭","bài"
"捭","bǎi"
"据","jù"
"据","jū"
"捱","ái"
"捲","juǎn"
"捶","chuí"
"捷","jié"
"捺","nà"
"捻","niǎn"
"捽","zú"
"捽","zuó"
"掀","xiān"
"掂","diān"
"掃","sào"
"掃","sǎo"
"掄","lún"
"掄","lūn"
"授","shòu"
"掉","diào"
"掊","póu"
"掊","pǒu"
"掌","zhǎng"
"掎","jǐ"
"掏","tāo"
"掐","qiā"
"排","pái"
"排","pǎi"
"掔","qiān"
"掖","yē"
"掗","yà"
"掘","jué"
"掙","zhèng"
"掙","zhēng"
"掛","guà"
"掞","shàn"
"掠","lüè"
"採","cǎi"
"探","tàn"
"掣","chè"
"掤","bīng"
"接","jiē"
"控","kòng"
"推","tuī"
"掩","yǎn"
"措","cuò"
"掫","zōu"
"掮","qián"
"掯","kèn"
"掰","bāi"
"掱","shǒu"
"掽","pèng"
"掾","yuàn"
"揀","jiǎn"
"揄","yú"
"揅","yán"
"揆","kuí"
"揉","róu"
"揍","zòu"
"揎","xuān"
"描","miáo"
"提","dī"
"提","tí"
"插","chā"
"揕","zhèn"
"揖","yī"
"揚","yáng"
"換","huàn"
"揜","yǎn"
"揠","yà"
"握","wò"
"揣","chuǎi"
"揣","chuāi"
"揥","tì"
"揩","kāi"
"揪","jiū"
"揫","jiū"
"揭","jiē"
"揮","huī"
"揰","chòng"
"揲","shé"
"援","yuán"
"揶","yé"
"揹","bēi"
"搆","gòu"
"搉","què"
"搊","chōu"
"搌","zhǎn"
"損","sǔn"
"搏","bó"
"搐","chù"
"搒","bèng"
"搓","cuō"
"搔","sāo"
"搖","yáo"
"搗","dǎo"
"搘","zhī"
"搜","sōu"
"搞","gǎo"
"搠","shuò"
"搡","sǎng"
"搢","jìn"
"搤","è"
"搥","chuí"
"搦","nuò"
"搧","shān"
"搨","tà"
"搪","táng"
"搬","bān"
"搭","dā"
"搯","tāo"
"搰","hú"
"搴","qiān"
"搵","wèn"
"搶","qiǎng"
"搶","qiāng"
"搽","chá"
"搾","zhà"
"搿","gé"
"摁","èn"
"摑","guó"
"摒","bìng"
"摔","shuāi"
"摘","zhāi"
"摛","chī"
"摜","guàn"
"摞","luò"
"摟","lǒu"
"摟","lōu"
"摠","zǒng"
"摦","huà"
"摧","cuī"
"摩","mó"
"摭","zhí"
"摯","zhì"
"摲","shàn"
"摳","kōu"
"摴","shū"
"摶","tuán"
"摷","jiǎo"
"摸","mó"
"摸","mō"
"摹","mó"
"摺","zhé"
"摻","chān"
"摻","shǎn"
"摽","biāo"
"摽","piǎo"
"撂","liào"
"撅","juē"
"撇","piě"
"撇","piē"
"撈","lāo"
"撊","xiàn"
"撐","chēng"
"撒","sǎ"
"撒","sā"
"撓","náo"
"撕","sī"
"撙","zǔn"
"撚","niǎn"
"撞","zhuàng"
"撢","dǎn"
"撣","dǎn"
"撤","chè"
"撥","bō"
"撦","chě"
"撩","liáo"
"撩","liāo"
"撫","fǔ"
"撬","qiào"
"播","bō"
"撮","cuō"
"撰","zhuàn"
"撱","tuǒ"
"撲","pū"
"撳","qìn"
"撻","tà"
"撼","hàn"
"撾","zhuā"
"擁","yōng"
"擂","léi"
"擂","lèi"
"擄","lǔ"
"擅","shàn"
"擇","zé"
"擇","zhái"
"擊","jī"
"擋","dàng"
"擋","dǎng"
"操","cāo"
"擎","qíng"
"擐","huàn"
"擒","qín"
"擔","dàn"
"擔","dān"
"擘","bò"
"據","jù"
"擠","jǐ"
"擢","zhuó"
"擣","dǎo"
"擤","xǐng"
"擦","cā"
"擫","yè"
"擬","nǐ"
"擭","huò"
"擯","bìn"
"擰","níng"
"擰","nìng"
"擰","nǐng"
"擱","gē"
"擲","zhì"
"擴","kuò"
"擷","xié"
"擺","bǎi"
"擻","sǒu"
"擾","rǎo"
"攀","pān"
"攄","shū"
"攆","niǎn"
"攏","lǒng"
"攔","lán"
"攖","yīng"
"攘","rǎng"
"攙","chān"
"攛","cuān"
"攜","xié"
"攝","shè"
"攢","cuán"
"攢","zǎn"
"攤","tān"
"攩","dǎng"
"攪","jiǎo"
"攫","jué"
"攬","lǎn"
"支","zhī"
"收","shōu"
"攷","kǎo"
"改","gǎi"
"攻","gōng"
"放","fàng"
"故","gù"
"效","xiào"
"敉","mǐ"
"敏","mǐn"
"救","jiù"
"敔","yǔ"
"敕","chì"
"敖","áo"
"敗","bài"
"敘","xù"
"教","jiào"
"教","jiāo"
"敜","niè"
"敝","bì"
"敞","chǎng"
"敢","gǎn"
"散","sàn"
"散","sǎn"
"敦","dūn"
"敬","jìng"
"敲","qiāo"
"敳","ái"
"整","zhěng"
"敵","dí"
"敷","fū"
"數","shù"
"數","shǔ"
"數","shuò"
"敹","liáo"
"敺","qū"
"敻","xiòng"
"敿","jiǎo"
"斁","yì"
"斂","liǎn"
"斃","bì"
"文","wén"
"斌","bīn"
"斐","fěi"
"斑","bān"
"斕","lán"
"斗","dòu"
"斗","dǒu"
"料","liào"
"斛","hú"
"斜","xié"
"斝","jiǎ"
"斟","zhēn"
"斠","jiào"
"斡","wò"
"斢","tǒu"
"斤","jīn"
"斥","chì"
"斧","fǔ"
"斫","zhuó"
"斬","zhǎn"
"斯","sī"
"新","xīn"
"斲","zhuó"
"斷","duàn"
"方","fāng"
"於","yú"
"施","shī"
"斿","yóu"
"旁","páng"
"旂","qí"
"旃","zhān"
"旄","máo"
"旄","mào"
"旅","lǚ"
"旆","pèi"
"旋","xuán"
"旋","xuàn"
"旌","jīng"
"旎","nǐ"
"族","zú"
"旐","zhào"
"旒","liú"
"旖","yǐ"
"旗","qí"
"旛","fān"
"旟","yú"
"既","jì"
"日","rì"
"旦","dàn"
"旨","zhǐ"
"早","zǎo"
"旬","xún"
"旭","xù"
"旰","gàn"
"旱","hàn"
"旴","xū"
"旺","wàng"
"昂","áng"
"昃","zè"
"昄","bǎn"
"昆","kūn"
"昇","shēng"
"昉","fǎng"
"昊","hào"
"昌","chāng"
"明","míng"
"昏","hūn"
"易","yì"
"昔","xī"
"昕","xīn"
"星","xīng"
"映","yìng"
"春","chūn"
"昧","mèi"
"昨","zuó"
"昭","zhāo"
"是","shì"
"昱","yù"
"昴","mǎo"
"昵","nì"
"昶","chǎng"
"昺","bǐng"
"晁","cháo"
"時","shí"
"晃","huàng"
"晃","huǎng"
"晉","jìn"
"晌","shǎng"
"晏","yàn"
"晒","shài"
"晚","wǎn"
"晛","xiàn"
"晜","kūn"
"晝","zhòu"
"晞","xī"
"晟","shèng"
"晡","bū"
"晢","zhé"
"晤","wù"
"晦","huì"
"晨","chén"
"晬","zuì"
"普","pǔ"
"景","jǐng"
"晰","xī"
"晴","qíng"
"晶","jīng"
"晷","guǐ"
"智","zhì"
"晾","liàng"
"暄","xuān"
"暇","xiá"
"暈","yùn"
"暈","yūn"
"暉","huī"
"暋","mǐn"
"暌","kuí"
"暍","hè"
"暑","shǔ"
"暔","nán"
"暖","nuǎn"
"暗","àn"
"暘","yáng"
"暝","míng"
"暢","chàng"
"暨","jì"
"暫","zàn"
"暮","mù"
"暱","nì"
"暲","zhāng"
"暴","bào"
"暵","hàn"
"暹","xiān"
"暾","tūn"
"曀","yì"
"曄","yè"
"曆","lì"
"曇","tán"
"曈","tóng"
"曉","xiǎo"
"曏","xiàng"
"曖","ài"
"曚","méng"
"曛","xūn"
"曜","yào"
"曝","pù"
"曠","kuàng"
"曦","xī"
"曨","lóng"
"曩","nǎng"
"曬","shài"
"曰","yuē"
"曲","qǔ"
"曲","qū"
"曳","yè"
"更","gèng"
"更","gēng"
"曷","hé"
"書","shū"
"曹","cáo"
"曼","màn"
"曾","céng"
"曾","zēng"
"替","tì"
"最","zuì"
"會","huì"
"會","kuài"
"朅","qiè"
"月","yuè"
"有","yǒu"
"朊","ruǎn"
"朋","péng"
"服","fú"
"朏","fěi"
"朐","qú"
"朓","tiào"
"朔","shuò"
"朕","zhèn"
"朗","lǎng"
"望","wàng"
"朝","cháo"
"朝","zhāo"
"期","qī"
"朢","wàng"
"朣","tóng"
"朦","méng"
"朧","lóng"
"木","mù"
"未","wèi"
"末","mò"
"本","běn"
"札","zhá"
"朮","shù"
"朮","zhú"
"朱","zhū"
"朴","pò"
"朵","duǒ"
"机","jī"
"朽","xiǔ"
"杅","yú"
"杆","gǎn"
"杆","gān"
"杇","wū"
"杈","chà"
"杈","chā"
"杉","shā"
"杉","shān"
"杌","wù"
"李","lǐ"
"杏","xìng"
"材","cái"
"村","cūn"
"杓","biāo"
"杓","sháo"
"杕","dì"
"杗","máng"
"杙","yì"
"杜","dù"
"杝","yí"
"杞","qǐ"
"束","shù"
"杠","gàng"
"杠","gāng"
"杪","miǎo"
"杭","háng"
"杯","bēi"
"杰","jié"
"東","dōng"
"杲","gǎo"
"杳","yǎo"
"杴","xiān"
"杵","chǔ"
"杶","chūn"
"杷","pá"
"杻","chǒu"
"杻","niǔ"
"杼","zhù"
"松","sōng"
"板","bǎn"
"枇","pí"
"枉","wǎng"
"枋","fāng"
"枌","fén"
"析","xī"
"枓","dǒu"
"枕","zhěn"
"林","lín"
"枘","ruì"
"枙","è"
"枚","méi"
"果","guǒ"
"枝","zhī"
"枯","kū"
"枰","píng"
"枲","xǐ"
"枳","zhǐ"
"枵","xiāo"
"架","jià"
"枷","jiā"
"枸","gǒu"
"枸","gōu"
"枸","jǔ"
"枹","fū"
"枻","yì"
"柁","tuó"
"柂","yí"
"柃","líng"
"柄","bǐng"
"柅","nǐ"
"柈","pán"
"柎","fū"
"柏","bǎi"
"柏","bò"
"某","mǒu"
"柑","gān"
"柒","qī"
"染","rǎn"
"柔","róu"
"柘","zhè"
"柙","xiá"
"柚","yòu"
"柜","guì"
"柜","jǔ"
"柝","tuò"
"柞","zuò"
"柟","nán"
"柢","dǐ"
"柣","zhí"
"柤","zhā"
"查","chá"
"查","zhā"
"柩","jiù"
"柬","jiǎn"
"柮","duò"
"柯","kē"
"柰","nài"
"柱","zhù"
"柲","bì"
"柳","liǔ"
"柴","chái"
"柵","zhà"
"柶","sì"
"柷","zhù"
"柸","pēi"
"柺","guǎi"
"柿","shì"
"栓","shuān"
"栔","qì"
"栖","qī"
"栖","xī"
"栗","lì"
"栝","guā"
"栟","bīng"
"校","jiào"
"校","xiào"
"栩","xǔ"
"株","zhū"
"栫","jiàn"
"栭","ér"
"栱","gǒng"
"栲","kǎo"
"栳","lǎo"
"核","hé"
"根","gēn"
"栻","shì"
"格","gé"
"栽","zāi"
"桀","jié"
"桁","héng"
"桂","guì"
"桃","táo"
"桄","guàng"
"桄","guāng"
"桅","wéi"
"框","kuàng"
"案","àn"
"桉","ān"
"桋","yí"
"桌","zhuō"
"桎","zhì"
"桐","tóng"
"桑","sāng"
"桓","huán"
"桔","jié"
"桔","jú"
"桫","suō"
"桭","zhēn"
"桮","bēi"
"桯","tīng"
"桲","bó"
"桴","fú"
"桶","tǒng"
"桹","láng"
"桿","gǎn"
"梁","liáng"
"梃","tǐng"
"梅","méi"
"梆","bāng"
"梏","gù"
"梐","bì"
"梓","zǐ"
"梔","zhī"
"梗","gěng"
"條","tiáo"
"梟","xiāo"
"梠","lǚ"
"梡","kuǎn"
"梢","shāo"
"梧","wú"
"梨","lí"
"梩","lí"
"梭","suō"
"梯","tī"
"械","xiè"
"梱","kǔn"
"梲","zhuó"
"梳","shū"
"梴","chān"
"梵","fàn"
"棄","qì"
"棉","mián"
"棋","qí"
"棍","gùn"
"棐","fěi"
"棑","pái"
"棒","bàng"
"棕","zōng"
"棖","chéng"
"棗","zǎo"
"棘","jí"
"棚","péng"
"棜","yù"
"棟","dòng"
"棠","táng"
"棣","dì"
"棧","zhàn"
"棨","qǐ"
"棪","yǎn"
"棫","yù"
"森","sēn"
"棰","chuí"
"棱","léng"
"棲","qī"
"棲","xī"
"棵","kē"
"棸","zōu"
"棹","zhuō"
"棺","guān"
"棼","fén"
"椅","yǐ"
"椈","jú"
"椌","qiāng"
"植","zhí"
"椎","chuí"
"椎","zhuī"
"椏","yā"
"椐","jū"
"椑","bēi"
"椒","jiāo"
"椓","zhuó"
"椗","dìng"
"椴","duàn"
"椵","jiǎ"
"椷","jiān"
"椸","yí"
"椹","shèn"
"椽","chuán"
"椿","chún"
"椿","chūn"
"楀","yǔ"
"楂","chá"
"楂","zhā"
"楄","pián"
"楅","bì"
"楊","yáng"
"楎","hún"
"楓","fēng"
"楔","xiē"
"楗","jiàn"
"楘","mù"
"楙","mào"
"楚","chǔ"
"楛","hù"
"楛","kǔ"
"楝","liàn"
"楞","léng"
"楠","nán"
"楢","yóu"
"楣","méi"
"楦","xuàn"
"楨","zhēn"
"楩","pián"
"楫","jí"
"楬","jié"
"業","yè"
"楮","chǔ"
"楯","shǔn"
"楰","yú"
"極","jí"
"楷","kǎi"
"楸","qiū"
"楹","yíng"
"概","gài"
"榆","yú"
"榎","jiǎ"
"榔","láng"
"榕","róng"
"榖","gǔ"
"榛","zhēn"
"榜","bǎng"
"榠","míng"
"榡","sù"
"榤","jié"
"榥","huǎng"
"榦","gàn"
"榧","fěi"
"榨","zhà"
"榫","sǔn"
"榭","xiè"
"榮","róng"
"榱","cuī"
"榴","liú"
