chars,pinyin
"傧","bīn"
"储","chǔ"
"傩","nuó"
"催","cuī"
"傲","ào"
"傺","chì"
"傻","shǎ"
"僇","lù"
"像","xiàng"
"僖","xī"
"僚","liáo"
"僤","dàn"
"僦","jiù"
"僧","sēng"
"僩","xiàn"
"僬","jiāo"
"僭","jiàn"
"僮","tóng"
"僮","zhuàng"
"僰","bó"
"僵","jiāng"
"僻","pì"
"僾","ài"
"儆","jǐng"
"儇","xuān"
"儋","dān"
"儌","jiǎo"
"儒","rú"
"儗","nǐ"
"儡","lěi"
"儤","bào"
"儦","biāo"
"儩","sì"
"儸","luó"
"儿","er"
"儿","ér"
"兀","wù"
"允","yǔn"
"元","yuán"
"兄","xiōng"
"充","chōng"
"兆","zhào"
"先","xiān"
"光","guāng"
"克","kè"
"免","miǎn"
"兑","duì"
"兔","tù"
"兕","sì"
"兖","yǎn"
"党","dǎng"
"兜","dōu"
"兢","jīng"
"入","rù"
"全","quán"
"八","bā"
"公","gōng"
"六","liù"
"兮","xī"
"兰","lán"
"共","gòng"
"关","guān"
"兴","xìng"
"兴","xīng"
"兵","bīng"
"其","qí"
"具","jù"
"典","diǎn"
"兹","zī"
"养","yǎng"
"兼","jiān"
"兽","shòu"
"冀","jì"
"冁","chǎn"
"内","nèi"
"冈","gāng"
"冉","rǎn"
"册","cè"
"再","zài"
"冏","jiǒng"
"冒","mào"
"冓","gòu"
"冔","xǔ"
"冕","miǎn"
"冗","rǒng"
"写","xiě"
"军","jūn"
"农","nóng"
"冞","mí"
"冠","guàn"
"冠","guān"
"冢","zhǒng"
"冤","yuān"
"冥","míng"
"冬","dōng"
"冰","bīng"
"冱","hù"
"冲","chòng"
"冲","chōng"
"决","jué"
"况","kuàng"
"冶","yě"
"冷","lěng"
"冻","dòng"
"冼","xiǎn"
"冽","liè"
"净","jìng"
"凄","qī"
"准","zhǔn"
"凉","liáng"
"凊","jìng"
"凋","diāo"
"凌","líng"
"减","jiǎn"
"凑","còu"
"凛","lǐn"
"凝","níng"
"几","jǐ"
"几","jī"
"凡","fán"
"凤","fèng"
"凫","fú"
"凭","píng"
"凯","kǎi"
"凰","huáng"
"凳","dèng"
"凵","qū"
"凶","xiōng"
"凹","āo"
"出","chū"
"击","jī"
"函","hán"
"凿","záo"
"凿","zuò"
"刀","dāo"
"刁","diāo"
"刃","rèn"
"分","fèn"
"分","fēn"
"切","qiè"
"切","qiē"
"刈","yì"
"刊","kān"
"刍","chú"
"刎","wěn"
"刑","xíng"
"划","huá"
"划","huà"
"刖","yuè"
"列","liè"
"刘","liú"
"则","zé"
"刚","gāng"
"创","chuàng"
"创","chuāng"
"刜","fú"
"初","chū"
"删","shān"
"判","pàn"
"刨","bào"
"刨","páo"
"利","lì"
"别","bié"
"别","biè"
"刭","jǐng"
"刮","guā"
"到","dào"
"刲","kuī"
"刳","kū"
"刵","èr"
"制","zhì"
"刷","shuà"
"刷","shuā"
"券","quàn"
"刹","chà"
"刹","shā"
"刺","cì"
"刻","kè"
"刿","guì"
"剀","kǎi"
"剁","duò"
"剂","jì"
"剃","tì"
"削","xiāo"
"削","xuē"
"剌","lá"
"剌","là"
"前","qián"
"剐","guǎ"
"剑","jiàn"
"剔","tī"
"剖","pōu"
"剚","zì"
"剜","wān"
"剞","jī"
"剡","shàn"
"剡","yǎn"
"剥","bō"
"剧","jù"
"剩","shèng"
"剪","jiǎn"
"副","fù"
"割","gē"
"剸","tuán"
"剽","piāo"
"剿","chāo"
"剿","jiǎo"
"劂","jué"
"劈","pǐ"
"劈","pī"
"劓","yì"
"劖","chán"
"劘","mó"
"力","lì"
"劝","quàn"
"办","bàn"
"功","gōng"
"加","jiā"
"务","wù"
"劢","mài"
"劣","liè"
"动","dòng"
"助","chú"
"助","zhù"
"努","nǔ"
"劫","jié"
"劬","qú"
"劭","shào"
"励","lì"
"劲","jìn"
"劲","jìng"
"劳","láo"
"劻","kuāng"
"劼","jié"
"劾","hé"
"势","shì"
"勃","bó"
"勇","yǒng"
"勉","miǎn"
"勋","xūn"
"勒","lè"
"勒","lēi"
"勖","xù"
"勗","xù"
"勘","kān"
"募","mù"
"勤","qín"
"勩","yì"
"勰","xié"
"勷","ráng"
"勺","sháo"
"勾","gòu"
"勾","gōu"
"勿","wù"
"匀","yún"
"包","bāo"
"匆","cōng"
"匈","xiōng"
"匊","jú"
"匍","pú"
"匏","páo"
"匐","fú"
"匕","bǐ"
"匕","bī"
"化","huà"
"北","běi"
"匙","chí"
"匚","fāng"
"匜","yí"
"匝","zā"
"匟","kàng"
"匠","jiàng"
"匡","kuāng"
"匣","xiá"
"匦","guǐ"
"匪","fěi"
"匮","kuì"
"匹","pǐ"
"匹","pī"
"区","ōu"
"医","yī"
"匾","biǎn"
"匾","pián"
"匿","nì"
"十","shí"
"千","qiān"
"卅","sà"
"升","shēng"
"午","wǔ"
"卉","huì"
"半","bàn"
"华","huá"
"华","huà"
"华","huā"
"协","xié"
"卑","bēi"
"卒","cù"
"卒","zú"
"卓","zhuó"
"单","chán"
"单","dān"
"单","shàn"
"卖","mài"
"南","nán"
"博","bó"
"卜","bo"
"卜","bǔ"
"卞","biàn"
"占","zhàn"
"占","zhān"
"卡","kǎ"
"卡","qiǎ"
"卢","lú"
"卣","yǒu"
"卤","lǔ"
"卦","guà"
"卧","wò"
"卫","wèi"
"卮","zhī"
"卯","mǎo"
"印","yìn"
"危","wēi"
"卲","shào"
"即","jí"
"却","què"
"卵","luǎn"
"卷","juàn"
"卷","juǎn"
"卸","xiè"
"卺","jǐn"
"卼","wù"
"卿","qīng"
"厂","chǎng"
"厄","è"
"厅","tīng"
"历","lì"
"厉","lì"
"压","yà"
"压","yā"
"厌","yàn"
"厍","shè"
"厎","zhǐ"
"厔","zhì"
"厕","cè"
"厖","páng"
"厘","lí"
"厚","hòu"
"厝","cuò"
