han,chars
"cảm","赶"
"cẩm","锦"
"can","干"
"can","杆"
"can","玕"
"can","矸"
"can","竿"
"can","筸"
"can","肝"
"can","芈"
"can","讦"
"cán","干"
"cán","旰"
"cán","浣"
"cán","秆"
"cán","裥"
"cán","骭"
"càn","乾"
"càn","郓"
"cân","伒"
"cân","巾"
"cân","帘"
"cân","斤"
"cân","昕"
"cân","沂"
"cân","筋"
"cân","艞"
"cân","跟"
"căn","根"
"cấn","嗺"
"cấn","艮"
"cấn","跟"
"cấn","龈"
"cần","勤"
"cần","廑"
"cần","獠"
"cần","縃"
"cần","芹"
"cản","杆"
"cản","秆"
"cản","赶"
"cẩn","卺"
"cẩn","堇"
"cẩn","廑"
"cẩn","槿"
"cẩn","瑾"
"cẩn","艮"
"cẩn","谨"
"cẩn","鄞"
"cẩn","馑"
"cạn","觟"
"cận","仅"
"cận","堇"
"cận","墐"
"cận","槿"
"cận","殣"
"cận","茛"
"cận","蕫"
"cận","觐"
"cận","近"
"cận","靳"
"cang","岗"
"cang","矼"
"cang","缸"
"cang","钪"
"cáng","獂"
"căng","兢"
"căng","矜"
"căng","緪"
"cắng","亘"
"cảng","港"
"canh","埂"
"canh","庚"
"canh","抏"
"canh","暩"
"canh","更"
"canh","浭"
"canh","粳"
"canh","羹"
"canh","耕"
"canh","赓"
"canh","鶊"
"cánh","哽"
"cánh","埂"
"cánh","更"
"cánh","獍"
"cánh","竟"
"cánh","粳"
"cánh","絅"
"cánh","魃"
"cánh","魧"
"cành","袟"
"cảnh","儆"
"cảnh","埂"
"cảnh","境"
"cảnh","憬"
"cảnh","景"
"cảnh","炅"
"cảnh","煚"
"cảnh","熲"
"cảnh","绠"
"cảnh","耿"
"cảnh","警"
"cảnh","顈"
"cảnh","颈"
"cạnh","嬮"
"cạnh","竞"
"cao","哔"
"cao","嗥"
"cao","嚆"
"cao","槔"
"cao","櫜"
"cao","皋"
"cao","睾"
"cao","窑"
"cao","篙"
"cao","糕"
"cao","羔"
"cao","翱"
"cao","膏"
"cao","蒿"
"cao","薅"
"cao","高"
"cáo","告"
"cáo","膏"
"cáo","诰"
"cáo","郜"
"cảo","搞"
"cảo","杲"
"cảo","槁"
"cảo","稿"
"cảo","缟"
"cảo","镐"
"cảo","高"
"cáp","合"
"cáp","哈"
"cáp","恰"
"cáp","掐"
"cáp","蛤"
"cáp","颌"
"cáp","鸽"
"cấp","圾"
"cấp","急"
"cấp","汲"
"cấp","笈"
"cấp","级"
"cấp","给"
"cấp","芨"
"cấp","跲"
"cập","及"
"cập","芨"
"cát","佶"
"cát","割"
"cát","吉"
"cát","噶"
"cát","拮"
"cát","葛"
"cát","轕"
"cát","钆"
"cật","劼"
"cật","吃"
"cật","姞"
"cật","讫"
"cật","诘"
"câu","俱"
"câu","勾"
"câu","句"
"câu","拘"
"câu","枸"
"câu","沟"
"câu","泃"
"câu","痀"
"câu","篝"
"câu","缑"
"câu","钩"
"câu","韝"
"câu","驹"
"câu","齁"
"cấu","冓"
"cấu","垢"
"cấu","够"
"cấu","姤"
"cấu","媾"
"cấu","彀"
"cấu","构"
"cấu","舺"
"cấu","觏"
"cấu","诟"
"cấu","购"
"cấu","逅"
"cấu","遘"
"cấu","钫"
"cầu","俅"
"cầu","厹"
"cầu","求"
"cầu","球"
"cầu","璆"
"cầu","虬"
"cầu","裘"
"cầu","赇"
"cầu","逑"
"cầu","銶"
"cẩu","岣"
"cẩu","枸"
"cẩu","狗"
"cẩu","笱"
"cẩu","耇"
"cẩu","苟"
"cẩu","雊"
"cha","咱"
"cha","皻"
"chá","柘"
"chá","炙"
"chá","痄"
"chá","蜡"
"chá","鹧"
"chà","嗏"
"châm","恁"
"châm","斟"
"châm","椹"
"châm","燊"
"châm","砧"
"châm","箴"
"châm","胗"
"châm","臢"
"châm","针"
"châm","鱵"
"chấm","揕"
"chẩm","怎"
"chẩm","枕"
"chậm","鸩"
"chân","甄"
"chân","真"
"chân","禛"
"chân","鬒"
"chấn","振"
"chấn","震"
"chấn","黰"
"chẩn","畛"
"chẩn","疹"
"chẩn","袗"
"chẩn","诊"
"chẩn","赈"
"chẩn","轸"
"chẩn","鬒"
"chẩn","黰"
"chàng","撞"
"chanh","橙"
"chánh","政"
"chánh","正"
"chấp","廾"
"chấp","执"
"chấp","汁"
"chấp","絷"
"chạp","蜡"
"chập","蛰"
"chất","侄"
"chất","厔"
"chất","櫍"
"chất","礩"
"chất","质"
"chất","踬"
"chất","郅"
"chất","鑕"
"chất","骘"
"châu","周"
"châu","啁"
"châu","州"
"châu","朱"
"châu","洲"
"địch","狄"
"châu","珠"
"châu","舟"
"châu","輖"
"châu","鄹"
"châu","鵃"
"chế","制"
"chế","猘"
"chi","之"
"chi","卮"
"chi","吱"
"chi","支"
"chi","枝"
"chi","栀"
"chi","祗"
"chi","肢"
"chi","胝"
"chi","脂"
"chi","芝"
"chi","芰"
"chi","鸱"
"chí","剚"
"chí","岆"
"chí","志"
"chí","懥"
"chí","挚"
"chí","疐"
"chí","痣"
"chí","胾"
"chí","至"
"chí","致"
"chí","觯"
"chí","识"
"chí","贽"
"chí","踬"
"chí","轾"
"chí","鸷"
"chỉ","厎"
"chỉ","只"
"chỉ","咫"
"chỉ","址"
"chỉ","坁"
"chỉ","堤"
"chỉ","恉"
"chỉ","抵"
"chỉ","指"
"chỉ","旨"
"chỉ","枳"
"chỉ","止"
"chỉ","沚"
"chỉ","滓"
"chỉ","砥"
"chỉ","祉"
"chỉ","笫"
"chỉ","纸"
"chỉ","胏"
"chỉ","脂"
"chỉ","芷"
"chỉ","茞"
"chỉ","蚔"
"chỉ","趾"
"chỉ","轵"
"chỉ","酯"
"chỉ","黹"
"chích","只"
"chích","摘"
"chích","摭"
"chích","炙"
"chích","跖"
"chích","蹠"
"chiêm","占"
"chiêm","歼"
"chiêm","澹"
"chiêm","瞻"
"chiêm","詹"
"chiêm","谵"
"chiếm","占"
"chiểm","颭"
"chiên","亶"
"chiên","旃"
"chiên","栴"
"chiên","毡"
"chiên","膻"
"chiên","邅"
"chiên","颤"
"chiên","饘"
"chiên","鱣"
"chiên","鸇"
"chiến","战"
"chiến","颤"
"chiển","蹍"
"chiếp","呫"
"chiếp","嗫"
"chiếp","辄"
"chiếp","鮿"
"chiệp","褶"
"chiết","哳"
"chiết","折"
"chiết","浙"
"chiêu","招"
"chiêu","昭"
"chiêu","钊"
"chiếu","昭"
"chiếu","照"
"chiếu","诏"
"chiểu","沼"
"chinh","征"
"chinh","怔"
"chinh","钲"
"chinh","鲭"
"chính","政"
"chính","正"
"chình","裎"
"chỉnh","整"
"chu","侏"
"chu","侜"
"chu","周"
"chu","啁"
"chu","朱"
"chu","株"
"chu","洙"
"chu","珠"
"chu","盩"
"chu","舟"
"chu","茱"
"chu","蛛"
"chu","輈"
"chu","邾"
"chú","咒"
"chú","咮"
"chú","注"
"chú","澍"
"chú","炷"
"chú","疰"
"chú","蛀"
"chú","铸"
"chù","绸"
"chủ","丶"
"chủ","主"
"chủ","麈"
"chư","诸"
"chứ","翥"
"chử","杵"
"chử","楮"
"chử","槠"
"chử","渚"
"chử","煮"
"chử","褚"
"chuân","肫"
"chuân","谆"
"chuẩn","准"
"chuẩn","榫"
"chuẩn","隼"
"chúc","嘱"
"chúc","属"
"chúc","斸"
"chúc","柷"
"chúc","烛"
"chúc","瘃"
"chúc","瞩"
"chúc","祝"
"chúc","粥"
"chúc","镯"
"chúc","馵"
"chức","织"
"chức","职"
"chuế","缀"
"chuế","赘"
"chung","盅"
"chung","终"
"chung","螽"
"chung","钟"
"chung","锺"
"chung","鼨"
"chúng","众"
"chúng","种"
"chủng","冢"
"chủng","种"
"chủng","踵"
"chưng","烝"
"địch","笛"
"địch","篴"
"địch","籴"
"địch","翟"
"địch","荻"
"địch","觌"
"địch","趯"
"địch","踧"
"địch","蹢"
"địch","迪"
"địch","逖"
"diệc","亦"
"diệc","燚"
"diêm","壏"
"diêm","檐"
"diêm","盐"
"diêm","阎"
"diêm","阽"
"diễm","剡"
"diễm","焰"
"diễm","焱"
"diễm","琰"
"diễm","艳"
"diễm","萏"
"diệm","剡"
"diệm","焰"
"diệm","焱"
"diệm","爓"
"diệm","琰"
"diệm","艳"
"điêm","掂"
"điêm","敁"
"điếm","坫"
"điếm","垫"
"điếm","店"
"điếm","惦"
"điếm","玷"
"điếm","簟"
"điếm","阽"
"điềm","恬"
"điềm","憩"
"điềm","湉"
"điềm","甜"
"điềm","菾"
"điểm","点"
"điệm","簟"
"diên","尪"
"diên","延"
"diên","旼"
"diên","沿"
"diên","涎"
"diên","筳"
"diên","筵"
"diên","缅"
"diên","蜒"
"diên","铅"
"diên","鸢"
"diễn","演"
"diễn","衍"
"diện","面"
"điên","傎"
"điên","巅"
"điên","癫"
"điên","颠"
"điến","捵"
"điến","淀"
"điến","淟"
"điến","癜"
"điến","见"
"điền","佃"
"điền","填"
"điền","滇"
"điền","田"
"điền","畋"
"điền","碘"
"điền","钿"
"điền","阗"
"điễn","殄"
"điễn","绽"
"điển","典"
"điển","殄"
"điển","淟"
"điển","碘"
"điện","奠"
"điện","殿"
"điện","淀"
"điện","电"
"điện","甸"
"điện","绽"
"điện","靛"
"diệp","叶"
"diệp","晔"
"diệp","烨"
"diệp","熚"
"diệp","鍱"
"diệp","靥"
"diệp","饁"
"điệp","叠"
"điệp","喋"
"điệp","堞"
"điệp","揲"
"điệp","牒"
"điệp","碟"
"điệp","蜨"
"điệp","蝶"
"điệp","褶"
"điệp","谍"
"điệp","跕"
"điệp","蹀"
"điệp","鲽"
"diệt","灭"
"điệt","侄"
"điệt","咥"
"điệt","垤"
"điệt","昳"
"điệt","瓞"
"điệt","眣"
"điệt","耋"
"điệt","至"
"điệt","蛭"
"điệt","跌"
"điệt","迭"
"diêu","佻"
"diêu","姚"
"diêu","摇"
"diêu","珧"
"diêu","窑"
"diêu","繇"
"diêu","轺"
"diêu","遥"
"diêu","铫"
"diêu","颻"
"diêu","鳐"
"diêu","鹞"
"diếu","窖"
"diếu","酵"
"diểu","杪"
"diểu","淼"
"diểu","渺"
"diểu","眇"
"diểu","眺"
"diểu","窅"
"diểu","缈"
"diểu","藐"
"diệu","妙"
"diệu","曜"
"diệu","耀"
"diệu","覞"
"điêu","佻"
"điêu","凋"
"điêu","刁"
"điêu","叼"
"điêu","啕"
"điêu","碉"
"điêu","貂"
"điêu","雕"
"điêu","鲷"
"điếu","伄"
"điếu","吊"
"điếu","窵"
"điếu","簃"
"điếu","钓"
"điều","倏"
"điều","条"
"điều","碉"
"điều","筱"
"điều","绦"
"điều","苕"
"điều","蜩"
"điều","调"
"điều","迢"
"điều","鞗"
"điều","鲦"
"điều","龆"
"điểu","嬲"
"điểu","茑"
"điểu","鸟"
"điệu","悼"
"điệu","掉"
"điệu","窕"
"điệu","蓧"
"điệu","调"
"điệu","铫"
"dinh","赢"
"dĩnh","郢"
"dĩnh","颍"
"dĩnh","颖"
"đinh","丁"
"đinh","仃"
"đinh","叮"
"đinh","帄"
"đinh","汀"
"đinh","玎"
"đinh","町"
"đinh","疔"
"đinh","盯"
"đinh","耵"
"đinh","酊"
"đinh","钉"
"đinh","靪"
"đính","嵿"
"đính","椗"
"đính","碇"
"đính","订"
"đính","酊"
"đính","顶"
"đính","飣"
"đình","亭"
"đình","停"
"đình","婷"
"đình","庭"
"đình","廷"
"đình","渟"
"đình","筳"
"đình","艇"
"đình","莛"
"đình","葶"
"đình","蜓"
"đình","霆"
"đình","鼮"
"đĩnh","侹"
"đĩnh","挺"
"đĩnh","梃"
"đĩnh","珽"
"đĩnh","脡"
"đĩnh","艇"
"đĩnh","铤"
"đĩnh","锭"
"đĩnh","靛"
"đĩnh","頲"
"đỉnh","艇"
"đỉnh","顶"
"đỉnh","鼎"
"định","定"
"định","锭"
"do","楢"
"do","犹"
"do","由"
"do","莸"
"do","輶"
"đô","嘟"
"đô","都"
"đố","妒"
"đố","蠹"
"đồ","图"
"đồ","屠"
"đồ","徒"
"đồ","涂"
"đồ","瘏"
"đồ","稌"
"đồ","荼"
"đồ","途"
"đồ","酴"
"đồ","闍"
"đồ","陡"
"đỗ","杜"
"đỗ","肚"
"đổ","堵"
"đổ","睹"
"đổ","赌"
"đổ","赭"
"độ","度"
"độ","渡"
"độ","踱"
"độ","镀"
"đoá","剁"
"đoá","垛"
"đoá","埵"
"đoá","朵"
"đoá","跺"
"đoá","躲"
"đoả","鬌"
"đoạ","嚲"
"đoạ","堕"
"đoạ","惰"
"đoái","兑"
"đoái","靾"
"đoài","兑"
"doãn","允"
"doãn","尹"
"doãn","狁"
"đoan","端"
"đoán","断"
"đoán","簖"
"đoán","踹"
"đoán","锻"
"đoàn","团"
"đoàn","慱"
"đoàn","抟"
"đoàn","漙"
"đoàn","糐"
"đoản","短"
"đoạn","夺"
"đoạn","断"
"đoạn","椴"
"đoạn","段"
"đoạn","毈"
"đoạn","碫"
"đoạn","缎"
"đoạn","锻"
"doanh","嬴"
"doanh","楹"
"doanh","瀛"
"doanh","盈"
"doanh","籯"
"doanh","茔"
"doanh","营"
"doanh","赢"
"đoạt","剟"
"đoạt","夺"
"đoạt","敓"
"đốc","督"
"đốc","笃"
"độc","椟"
"độc","毒"
"độc","渎"
"độc","滶"
"độc","熂"
"độc","牍"
"độc","犊"
"độc","独"
"độc","碡"
"độc","讟"
"độc","读"
"độc","躅"
"độc","髑"
"độc","黩"
"dới","瀣"
"dới","蚧"
"đôi","堆"
"đối","对"
"đối","碓"
"đối","镦"
"đồi","穨"
"đồi","隤"
"đồi","颓"
"đồi","魋"
"đỗi","怼"
"đỗi","憝"
"đỗi","譈"
"đội","镦"
"đội","队"
"đôn","侲"
"đôn","囤"
"đôn","墩"
"đôn","敦"
"đôn","炖"
"đôn","迍"
"đốn","吨"
"đốn","炖"
"đốn","顿"
"đốn","饨"
"đồn","吨"
"đồn","囤"
"đồn","坉"
"đồn","忳"
"đồn","盹"
"đồn","窀"
"đồn","臀"
"đồn","豚"
"đồn","饨"
"đồn","魨"
"đơn","单"
"đơn","瘅"
"đơn","郸"
"độn","囤"
"độn","沌"
"độn","盹"
"độn","趸"
"độn","遁"
"độn","钝"
"dõng","俑"
"đông","东"
"đông","冬"
"đông","咚"
"đông","崠"
"đông","疼"
"đông","蝀"
"đông","鸫"
"đống","冻"
"đống","栋"
"đồng","仝"
"đồng","佟"
"đồng","侗"
"đồng","僮"
"đồng","同"
"đồng","峒"
"đồng","彤"
"đồng","曈"
"đồng","桐"
"đồng","桶"
"đồng","潼"
"đồng","獞"
"đồng","瞳"
"đồng","童"
"đồng","筒"
"đồng","筩"
"đồng","罿"
"đồng","胴"
"đồng","茼"
"đồng","酮"
"đồng","铜"
"đồng","鮦"
"đỗng","恫"
"đỗng","恸"
"đỗng","洞"
"đổng","剡"
"đổng","憧"
"đổng","懂"
"đổng","董"
"động","动"
"động","峒"
"động","洞"
"động","胴"
"đốt","咄"
"đốt","柮"
"đột","凸"
"đột","涋"
"đột","突"
"đột","腯"
"đột","葖"
"đột","鼵"
"du","俞"
"du","庾"
"du","悠"
"du","愉"
"du","抃"
"du","攸"
"du","斿"
"du","柚"
"du","榆"
"du","歈"
"du","毹"
"du","油"
"du","渝"
"du","游"
"du","牏"
"du","猷"
"du","瑜"
"du","窬"
"du","腴"
"du","臾"
"du","莸"
"du","萸"
"du","蚰"
"du","蝓"
"du","蝣"
"du","觎"
"du","谀"
"du","輶"
"du","逾"
"du","鄃"
"du","釉"
"du","铀"
"du","隃"
"du","飕"
"du","鯈"
"dũ","愈"
"dũ","牖"
"dũ","窳"
"dũ","羑"
"dư","与"
"dư","予"
"dư","余"
"dư","妤"
"dư","旟"
"dư","欤"
"dư","璵"
"dư","畲"
"dư","舁"
"dư","舆"
"dư","艅"
"dư","轝"
"dụ","吁"
"dụ","喻"
"dụ","愈"
"dụ","芋"
"dụ","裕"
"dụ","诱"
"dụ","谕"
"dữ","与"
"dữ","屿"
"dữ","瘐"
"dự","蓣"
"dự","誉"
"dự","豫"
"dự","预"
"duân","筠"
"duẫn","允"
"duẫn","尹"
"duẫn","狁"
"duẫn","笋"
"duẩn","笋"
"duật","燏"
"duật","矞"
"duật","繘"
"duật","聿"
"duật","谲"
"duật","遹"
"duật","鴥"
"duật","鹬"
"dục","堉"
"dục","峪"
"dục","昱"
"dục","欲"
"dục","毓"
"dục","浴"
"dục","煜"
"dục","翌"
"dục","育"
"dục","谷"
"dục","鬻"
"dục","鹆"
"dực","廙"
"dực","翊"
"dực","翌"
"dực","翼"
"đức","德"
"duệ","勩"
"duệ","拽"
"duệ","曳"
"duệ","枻"
"duệ","泄"
"duệ","睿"
"duệ","袂"
"duệ","裔"
"duệ","跩"
"duệ","锐"
"dung","佣"
"dung","墉"
"dung","容"
"dung","庸"
"dung","慵"
"dung","榕"
"dung","溶"
"dung","熔"
"dung","瑢"
"dung","蓉"
"dung","融"
"dung","鎔"
"dung","镛"
"dũng","俑"
"dũng","勇"
"dũng","恿"
"dũng","桶"
"dũng","涌"
"dũng","甬"
"dũng","蛹"
"dũng","踊"
"dụng","佣"
"dụng","用"
"dựng","孕"
"dược","仑"
"dược","爚"
"dược","禴"
"dược","药"
"dược","跃"
"dược","钥"
"dược","龠"
"dương","佯"
"dương","咩"
"dương","垟"
"dương","徉"
"dương","恙"
"dương","扬"
"dương","杨"
"dương","洋"
"dương","炀"
"dương","烊"
"dương","瑒"
"dương","疡"
"dương","痒"
"dương","羊"
"dương","蛘"
"dương","锡"
"dương","阳"
"dương","颺"
"dường","饧"
"dưỡng","养"
"dưỡng","氧"
"dưỡng","痒"
"đương","当"
"đương","档"
"đương","簹"
"đương","阹"
"đường","唐"
"đường","堂"
"đường","塘"
"đường","搪"
"đường","棠"
"đường","橖"
"đường","溏"
"đường","瑭"
"đường","瞠"
"đường","糖"
"đường","膛"
"đường","螗"
"đường","螳"
"đường","赯"
"đường","醣"
"đường","镗"
"dứu","柚"
"dứu","貁"
"dứu","釉"
"dứu","鼬"
"dữu","卣"
"dữu","庾"
"dữu","柚"
"dữu","萸"
"dửu","槱"
"dửu","莠"
"duy","唯"
"duy","帏"
"duy","帷"
"duy","惟"
"duy","潍"
"duy","睢"
"duy","维"
"duy","隹"
"duy","骓"
"duyên","埏"
"duyên","延"
"duyên","椽"
"duyên","橼"
"duyên","沿"
"duyên","缘"
"duyên","铅"
"duyện","兖"
"duyện","吮"
"duyện","掾"
"duyện","沇"
"duyệt","悦"
"duyệt","拽"
"duyệt","说"
"ê","嫛"
"ê","繄"
"ê","醯"
"ê","鷖"
"ế","噎"
"ế","嫕"
"ế","曀"
"ế","殪"
"ế","瘗"
"ế","翳"
"ế","豷"
"ế","餲"
"gia","加"
"gia","嘉"
"gia","家"
"gia","揶"
"gia","枷"
"gia","椰"
"gia","爷"
"gia","琊"
"gia","痂"
"gia","耶"
"gia","茄"
"gia","葭"
"gia","跏"
"gia","迦"
"gia","镓"
"giá","价"
"giá","假"
"giá","嫁"
"giá","架"
"giá","枷"
"giá","柘"
"giá","稼"
"giá","蔗"
"giá","这"
"giá","驾"
"giá","鹧"
"già","伽"
"già","咖"
"già","枷"
"già","痂"
"già","笳"
"già","耞"
"già","迦"
"già","遮"
"giả","假"
"giả","斝"
"giả","檟"
"giả","者"
"giả","贾"
"giả","赭"
"giả","锗"
"giác","傕"
"giác","搅"
"giác","斠"
"giác","桷"
"giác","珏"
"giác","脚"
"giác","觉"
"giác","角"
"giác","较"
"giai","佳"
"giai","偕"
"giai","喈"
"giai","揩"
"giai","楷"
"giai","湝"
"giai","痎"
"giai","皆"
"giai","阶"
"giai","鵻"
"giái","歔"
"giải","嶰"
"giải","廨"
"giải","懈"
"giải","獬"
"giải","薢"
"giải","蟹"
"giải","褯"
"giải","解"
"giải","邂"
"giam","椷"
"giam","监"
"giam","缄"
"giám","监"
"giám","鉴"
"giám","鋻"
"giảm","减"
"giảm","堿"
"gian","奸"
"gian","艰"
"gian","菅"
"gian","蕑"
"gian","闲"
"gian","间"
"gián","瞷"
"gián","谏"
"giản","拣"
"giản","柬"
"giản","涧"
"giản","痫"
"giản","瞷"
"giản","简"
"giản","裥"
"giản","钟"
"giang","扛"
"giang","杠"
"giang","江"
"giang","疘"
"giang","肛"
"giang","豇"
"giáng","洚"
"giáng","绛"
"giáng","降"
"giảng","讲"
"giao","交"
"giao","教"
"giao","胶"
"giao","艽"
"giao","茭"
"giao","蛟"
"giao","跤"
"giao","轇"
"giao","郊"
"giao","鲛"
"giao","鵁"
"giáo","教"
"giáo","校"
"giảo","佼"
"giảo","咬"
"giảo","姣"
"giảo","搅"
"giảo","狡"
"giảo","皎"
"giảo","绞"
"giảo","较"
"giảo","铰"
"giảo","饺"
"giáp","夹"
"giáp","岬"
"giáp","峡"
"giáp","恝"
"giáp","戛"
"giáp","柙"
"giáp","甲"
"giáp","胛"
"giáp","荚"
"giáp","蛱"
"giáp","袷"
"giáp","郏"
"giáp","钾"
"giáp","铗"
"giáp","颊"
"giốc","角"
"giới","介"
"giới","价"
"giới","尬"
"giới","届"
"giới","悈"
"giới","戒"
"giới","械"
"giới","瀣"
"giới","玠"
"giới","界"
"giới","疥"
"giới","芥"
"giới","薤"
"giới","蚧"
"giới","诫"
"giới","骱"
"giới","齘"
"ha","呵"
"ha","诃"
"há","罅"
"hà","何"
"hà","河"
"hà","瑕"
"hà","瘕"
"hà","苛"
"hà","荷"
"hà","葭"
"hà","虾"
"hà","遐"
"hà","霞"
"hạ","下"
"hạ","厦"
"hạ","嗄"
"hạ","夏"
"hạ","暇"
"hạ","罅"
"hạ","葭"
"hạ","贺"
"hác","嗃"
"hác","壑"
"hác","郝"
"hắc","嘿"
"hắc","黑"
"hạc","嗃"
"hạc","涸"
"hạc","貉"
"hạc","鸒"
"hạc","鹤"
"hặc","劾"
"hách","吓"
"hách","赫"
"hách","郝"
"hạch","核"
"hạch","阂"
"hài","偕"
"hài","孩"
"hài","谐"
"hài","还"
"hài","鞋"
"hài","颏"
"hài","骸"
"hãi","阂"
"hãi","骇"
"hải","海"
"hải","澥"
"hải","醢"
"hại","嗐"
"hại","害"
"ham","蚶"
"hám","憾"
"hám","撼"
"hám","瞰"
"hám","阚"
"hám","鬫"
"hàm","函"
"hàm","含"
"hàm","咸"
"hàm","喊"
"hàm","嗛"
"hàm","憨"
"hàm","椷"
"hàm","涵"
"hàm","琀"
"hàm","菡"
"hàm","衔"
"hàm","邯"
"hàm","邲"
"hàm","酣"
"hàm","颌"
"hàm","颔"
"hâm","歆"
"hâm","鑫"
"hãm","陷"
"hãm","馅"
"hảm","喊"
"hạm","槛"
"hạm","舰"
"hạm","菡"
"hạm","轞"
"hạm","颔"
"han","顸"
"han","鼾"
"hán","厂"
"hán","暵"
"hán","汉"
"hán","熯"
"hàn","寒"
"hàn","瀚"
"hàn","盘"
"hàn","翰"
"hàn","邗"
"hàn","韩"
"hân","忺"
"hân","掀"
"hân","昕"
"hân","欣"
"hân","炘"
"hân","焮"
"hân","诉"
"hãn","干"
"hãn","悍"
"hãn","捍"
"hãn","杆"
"hãn","汗"
"hãn","瀚"
"hãn","焊"
"hãn","熯"
"hãn","睅"
"hãn","穻"
"hãn","罕"
"hãn","鼾"
"hấn","璺"
"hấn","衅"
"hạn","干"
"hạn","捍"
"hạn","旱"
"hạn","焊"
"hạn","睅"
"hạn","釬"
"hạn","限"
"hận","恨"
"hang","缸"
"hang","舡"
"hàng","吭"
"hàng","坑"
"hàng","杭"
"hàng","沆"
"hàng","洚"
"hàng","窋"
"hàng","绗"
"hàng","航"
"hàng","行"
"hàng","迒"
"hàng","降"
"hàng","颃"
"hãng","沆"
"hãng","行"
"hằng","恒"
"hạng","巷"
"hạng","衖"
"hạng","项"
"hanh","亨"
"hanh","亯"
"hanh","哼"
"hanh","啈"
"hanh","脝"
"hành","桁"
"hành","珩"
"hành","茎"
"hành","蘅"
"hành","行"
"hành","衡"
"hãnh","幸"
"hãnh","悻"
"hạnh","婞"
"hạnh","幸"
"hạnh","杏"
"hạnh","荇"
"hao","哮"
"hao","嚆"
"hao","皞"
"hao","耗"
"hao","蒿"
"hao","虓"
"hào","号"
"hào","嗥"
"hào","嚎"
"hào","壕"
"hào","崤"
"hào","毫"
"hào","洨"
"hào","淆"
"hào","濠"
"hào","爻"
"hào","肴"
"hào","豪"
"hào","鴞"
"hảo","好"
"hảo","薧"
"hạo","昊"
"hạo","浩"
"hạo","滈"
"hạo","灏"
"hạo","皓"
"hạo","皜"
"hạo","皞"
"hạo","镐"
"hạo","颢"
"háp","呷"
"hấp","吸"
"hấp","嗡"
"hấp","歙"
"hấp","翕"
"hạp","匣"
"hạp","呷"
"hạp","嗑"
"hạp","峡"
"hạp","柙"
"hạp","溘"
"hạp","盍"
"hạp","盒"
"hạp","瞌"
"hạp","磕"
"hạp","祫"
"hạp","闸"
"hạp","阖"
"hát","喝"
"hát","鶡"
"hất","迄"
"hạt","喝"
"hạt","曷"
"hạt","涸"
"hạt","瞎"
"hạt","碟"
"hạt","舝"
"hạt","蝎"
"hạt","褐"
"hạt","辖"
"hạt","鶡"
"hật","肸"
"hấu","鲎"
"hầu","侯"
"hầu","候"
"hầu","喉"
"hầu","猴"
"hầu","瘊"
"hầu","篌"
"hầu","餱"
"hậu","候"
"hậu","厚"
"hậu","后"
"hậu","堠"
"hậu","後"
"hậu","郈"
"hậu","鲎"
"hề","傒"
"hề","兮"
"hề","奚"
"hề","徯"
"hề","溪"
"hề","蹊"
"hề","鼷"
"hễ","匚"
"hễ","盻"
"hễ","禊"
"hệ","匚"
"hệ","盻"
"hệ","系"
"hi","僖"
"hi","唏"
"hi","嘻"
"hi","嬉"
"hi","巇"
"hi","希"
"hi","忾"
"hi","曦"
"hi","烯"
"hi","焦"
"hi","熙"
"hi","熹"
"hi","牺"
"hi","瓻"
"hi","禧"
"hi","稀"
"hi","絺"
"hi","羲"
"hi","豨"
"hí","唏"
"hí","屭"
"hí","戏"
"hí","饩"
"hĩ","矣"
"hỉ","喜"
"hỉ","囍"
"hỉ","蟢"
"hích","觋"
"hịch","檄"
"hịch","觋"
"hiêm","薟"
"hiềm","嫌"
"hiềm","慊"
"hiềm","玁"
"hiểm","猃"
"hiểm","玁"
"hiểm","险"
"hiên","掀"
"hiên","轩"
"hiên","顸"
"hiến","宪"
"hiến","献"
"hiến","瓛"
"hiền","贤"
"hiền","迒"
"hiển","显"
"hiển","睍"
"hiển","蚬"
"hiện","岘"
"hiện","现"
"hiện","睍"
"hiện","苋"
"hiện","蚬"
"hiếp","勰"
"hiếp","胁"
"hiệp","侠"
"hiệp","劦"
"hiệp","勰"
"hiệp","协"
"hiệp","峡"
"hiệp","惬"
"hiệp","挟"
"hiệp","柙"
"hiệp","洽"
"hiệp","狎"
"hiệp","狭"
"hiệp","硖"
"hiệp","胁"
"hiệp","郏"
"hiệp","陕"
"hiệp","黠"
"hiết","歇"
"hiết","蝎"
"hiệt","撷"
"hiệt","歇"
"hiệt","絜"
"hiệt","缬"
"hiệt","页"
"hiệt","颉"
"hiệt","黠"
"hiêu","哓"
"hiêu","嚣"
"hiêu","枵"
"hiếu","好"
"hiếu","孝"
"hiếu","酵"
"hiểu","晓"
"hiệu","佼"
"hiệu","号"
"hiệu","效"
"hiệu","校"
"hiệu","较"
"hiệu","铰"
"hiệu","饺"
"hinh","馨"
"hình","刑"
"hình","型"
"hình","形"
"hình","硎"
"hình","荆"
"hình","邢"
"hình","鉶"
"hình","陉"
"hĩnh","刭"
"hĩnh","胫"
"hô","呼"
"hô","滹"
"hô","琥"
"hô","膴"
"hô","虍"
"hô","虖"
"hô","謼"
"hố","戽"
"hồ","乎"
"hồ","壶"
"hồ","弧"
"hồ","湖"
"hồ","狐"
"hồ","猢"
"hồ","瑚"
