han,chars
"biên","匾"
"biên","扁"
"biên","猵"
"biên","瘪"
"biên","笾"
"biên","编"
"biên","翩"
"biên","蝙"
"biên","褊"
"biên","蹁"
"biên","辩"
"biên","辫"
"biên","边"
"biên","遍"
"biên","骗"
"biến","变"
"biến","抃"
"biến","遍"
"biền","匾"
"biền","姘"
"biền","弁"
"biền","扁"
"biền","拚"
"biền","拼"
"biền","缏"
"biền","胼"
"biền","褊"
"biền","谝"
"biền","蹁"
"biền","軿"
"biền","骈"
"biển","匾"
"biển","墐"
"biển","扁"
"biển","蝙"
"biển","褊"
"biển","谝"
"biển","趌"
"biển","趏"
"biển","骗"
"biện","办"
"biện","卞"
"biện","弁"
"biện","忭"
"biện","抃"
"biện","汴"
"biện","瓣"
"biện","缏"
"biện","辨"
"biện","辩"
"biện","辫"
"biện","采"
"biết","拐"
"biết","瘪"
"biệt","别"
"biệt","垤"
"biệt","憋"
"biệt","蹩"
"biệt","馣"
"biếu","檅"
"biều","瓢"
"biều","表"
"biều","裒"
"biều","褢"
"biều","镳"
"biễu","殍"
"biểu","婊"
"biểu","殍"
"biểu","瓢"
"biểu","莩"
"biểu","表"
"biểu","裱"
"binh","俜"
"binh","兵"
"bính","丙"
"bính","屏"
"bính","拼"
"bính","摒"
"bính","昺"
"bính","柄"
"bính","炳"
"bính","碰"
"bính","迸"
"bính","邴"
"bính","陋"
"bính","饼"
"bình","伻"
"bình","偋"
"bình","坪"
"bình","塶"
"bình","姘"
"bình","屏"
"bình","帡"
"bình","平"
"bình","扁"
"bình","抨"
"bình","摒"
"bình","枰"
"bình","栟"
"bình","毐"
"bình","湃"
"bình","瓶"
"bình","砰"
"bình","缾"
"bình","苹"
"bình","萍"
"bình","评"
"bình","軿"
"bình","迸"
"bỉnh","昺"
"bỉnh","炳"
"bỉnh","秉"
"bô","哺"
"bô","晡"
"bô","脯"
"bô","膊"
"bô","逋"
"bô","酺"
"bố","布"
"bố","怖"
"bố","钸"
"bồ","匍"
"bồ","卜"
"bồ","穧"
"bồ","莆"
"bồ","菩"
"bồ","葡"
"bồ","蒲"
"bổ","哺"
"bổ","圃"
"bổ","埔"
"bổ","浦"
"bổ","补"
"bộ","哺"
"bộ","埔"
"bộ","捕"
"bộ","步"
"bộ","簿"
"bộ","蔀"
"bộ","部"
"bốc","卜"
"bốc","桻"
"bốc","蹼"
"bốc","钋"
"bộc","仆"
"bộc","噗"
"bộc","扑"
"bộc","暴"
"bộc","曝"
"bộc","朴"
"bộc","濮"
"bộc","瀑"
"bộc","爆"
"bộc","璞"
"bộc","襆"
"bộc","襮"
"bộc","蹼"
"bôi","坯"
"bôi","杯"
"bôi","桮"
"bối","呗"
"bối","昄"
"bối","狈"
"bối","背"
"bối","褙"
"bối","贝"
"bối","赉"
"bối","辈"
"bối","钡"
"bối","鼰"
"bồi","培"
"bồi","徘"
"bồi","抔"
"bồi","掊"
"bồi","涪"
"bồi","焙"
"bồi","赔"
"bồi","陪"
"bội","佩"
"bội","倍"
"bội","剖"
"bội","孛"
"bội","悖"
"bội","焙"
"bội","琲"
"bội","蓓"
"bội","誖"
"bội","邶"
"bội","鄁"
"bôn","奔"
"bôn","畚"
"bôn","锛"
"bồn","坌"
"bồn","湓"
"bồn","盆"
"bổn","本"
"bổn","畚"
"bổn","笨"
"bộn","坌"
"bồng","捧"
"bồng","琫"
"bồng","篷"
"bồng","芃"
"bồng","菶"
"bồng","蓬"
"bổng","俸"
"bổng","捧"
"bổng","棒"
"chưng","症"
"chưng","蒸"
"chứng","症"
"chứng","证"
"chửng","拯"
"chửng","氶"
"chước","勺"
"chước","妁"
"chước","斫"
"chước","灼"
"chước","缴"
"chước","酌"
"chương","嫜"
"chương","彰"
